Configuration, Time, Task
SingleThread, 7, ms
SingleThread, 7, meds
SingleThread, 8, fmeds
Parallel, 7, ms
Parallel, 7, meds
Parallel, 7, fmeds
Pseudo-Distributed, 37, ms
Pseudo-Distributed, 31, meds
Pseudo-Distributed, 31, fmeds
EMR, 283, ms
EMR, 269, meds
EMR, 304, fmeds
SingleThread, 172, ml
SingleThread, 162, medl
SingleThread, 163, fmedl
Parallel, 88, ml
Parallel, 92, medl
Parallel, 89, fmedl
Pseudo-Distributed, 250, ml
Pseudo-Distributed, 241, medl
Pseudo-Distributed, 237, fmedl
EMR, 916, ml
EMR, 786, medl
EMR, 788, fmedl
