Configuration, Time, Task
SingleThread, 7, meansmall
SingleThread, 7, mediansmall
SingleThread, 8, fastmediansmall
Parallel, 7, meansmall
Parallel, 7, mediansmall
Parallel, 7, fastmediansmall
Pseudo-Distributed, 37, meansmall
Pseudo-Distributed, 31, mediansmall
Pseudo-Distributed, 31, fastmediansmall
EMR, 283, meansmall
EMR, 269, mediansmall
EMR, 304, fastmediansmall
SingleThread, 172, meanlarge
SingleThread, 162, medianlarge
SingleThread, 163, fastmedianlarge
Parallel, 88, meanlarge
Parallel, 92, medianlarge
Parallel, 89, fastmedianlarge
Pseudo-Distributed, 250, meanlarge
Pseudo-Distributed, 241, medianlarge
Pseudo-Distributed, 237, fastmedianlarge
EMR, 916, meanlarge
EMR, 786, medianlarge
EMR, 788, fastmedianlarge
